1. Gender,2. Age,3. Residence [Residence],4. Your usual sleeping hours in the last 4 weeks [Sleeping hours],5. Your Sleep Satisfaction in the last 4 weeks [Sleep Satisfaction],6. How often you are connected to Internet in the last 4 weeks? [How often you are connected to Internet?],7. Satisfaction with academic study during pandemic [Satisfaction with academic study during pandemic],8. Academic Level,The other students tell me I am good at managing Internet connectivity in my life,I have been able to learn interesting new skills while connected to the Internet with my devices,Most days I feel a sense of accomplishment from Internet activities,I think I am pretty good at managing my online life,I really like the people I have connected with while using the Internet,I feel like I can trust the people I have connected with online,"While online, I pretty much have a lot of social contacts",I consider the people I regularly get connected with online to be my friends,People I have connected with online care about me,I feel close to others while using the Internet,People in my connections are generally pretty friendly towards me,I felt Internet connectivity helps me to connect with the people who shared similar interests,I feel a sense of freedom and choice when to connect or disconnect to the Internet in my daily life,I felt I am independent and confident in a certain way while connected with Internet,I feel free to express my ideas and opinions in online environments,Internet connectivity provides me with interesting options and choices,People I interact with online tend to take my feelings into consideration,I feel like I would have more control on my work and study while using Internet
Male,Between 21 to 25 Years,Village/ Rural area,7-9 hours,High,Always,Low,Undergraduate- Fourth Year,usually true,usually true,Rarely true,Often true,usually true,Often true,Often true,Always true,usually true,usually true,usually true,usually true,3 - Often true,Not at all true,4 - usually true,5 - Always true,4 - usually true,4 - usually true
Male,Between 21 to 25 Years,Big City,7-9 hours,Modest,Always,High,Postgraduate,Not at all true,Not at all true,Often true,Often true,Often true,Rarely true,Often true,Not at all true,Not at all true,Often true,Often true,Often true,1 - Not at all true,Always true,2 - Rarely true,2 - Rarely true,2 - Rarely true,3 - Often true
Male,Between 21 to 25 Years,Big City,Above 9 hours,High,Always,Low,Undergraduate- Fourth Year,Not at all true,Always true,Rarely true,Often true,Often true,Rarely true,Often true,Always true,usually true,Often true,usually true,usually true,2 - Rarely true,Often true,3 - Often true,4 - usually true,3 - Often true,4 - usually true
Male,Between 21 to 25 Years,Small City/ Town,7-9 hours,High,Always,Modest,Postgraduate,usually true,usually true,Often true,Often true,usually true,Often true,Rarely true,usually true,Rarely true,Rarely true,usually true,usually true,5 - Always true,Not at all true,3 - Often true,2 - Rarely true,2 - Rarely true,1 - Not at all true
Male,Between 21 to 25 Years,Small City/ Town,7-9 hours,Modest,Frequently,Low,Postgraduate,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,3 - Often true,Often true,3 - Often true,3 - Often true,3 - Often true,3 - Often true
Male,Between 21 to 25 Years,Big City,7-9 hours,High,Frequently,Low,Postgraduate,Rarely true,Always true,usually true,Often true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Not at all true,Often true,Often true,3 - Often true,usually true,2 - Rarely true,5 - Always true,2 - Rarely true,3 - Often true
Female,Between 21 to 25 Years,Big City,Below 7 hours,Low,Frequently,Modest,Postgraduate,Often true,Often true,Rarely true,usually true,Rarely true,Not at all true,Not at all true,Always true,Often true,Rarely true,Often true,Rarely true,2 - Rarely true,Always true,2 - Rarely true,2 - Rarely true,2 - Rarely true,1 - Not at all true
Female,Between 21 to 25 Years,Big City,Below 7 hours,Low,Always,Modest,Undergraduate- Second Year,Often true,usually true,Often true,Often true,usually true,Rarely true,usually true,Often true,Rarely true,Not at all true,Often true,Not at all true,3 - Often true,Often true,3 - Often true,3 - Often true,3 - Often true,3 - Often true
Male,Below 20 Years,Big City,Below 7 hours,Modest,Always,Low,Undergraduate- Second Year,Rarely true,Often true,Often true,Often true,usually true,usually true,usually true,usually true,Often true,Rarely true,usually true,Always true,3 - Often true,Rarely true,5 - Always true,4 - usually true,4 - usually true,2 - Rarely true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Modest,Frequently,Modest,Undergraduate- Second Year,usually true,usually true,usually true,usually true,usually true,Rarely true,Always true,Not at all true,Often true,Often true,usually true,Always true,3 - Often true,Often true,3 - Often true,3 - Often true,3 - Often true,3 - Often true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Low,Frequently,Modest,Undergraduate- Second Year,usually true,usually true,Often true,Often true,Often true,Rarely true,Often true,Often true,Rarely true,usually true,usually true,usually true,3 - Often true,Often true,4 - usually true,3 - Often true,4 - usually true,4 - usually true
Female,Between 21 to 25 Years,Small City/ Town,Below 7 hours,Modest,Always,Low,Undergraduate- Second Year,Not at all true,Rarely true,Often true,Not at all true,Often true,Not at all true,Rarely true,Often true,Not at all true,Not at all true,Rarely true,Often true,2 - Rarely true,usually true,3 - Often true,2 - Rarely true,3 - Often true,2 - Rarely true
Male,Below 20 Years,Small City/ Town,Below 7 hours,Modest,Frequently,Modest,Undergraduate- First Year,Always true,Not at all true,Rarely true,Often true,Always true,Not at all true,Always true,Rarely true,Often true,Rarely true,Always true,usually true,5 - Always true,Not at all true,2 - Rarely true,5 - Always true,5 - Always true,5 - Always true
Female,Below 20 Years,Big City,Below 7 hours,Low,Always,Low,Undergraduate- Second Year,usually true,usually true,Often true,Rarely true,Rarely true,Not at all true,Rarely true,Rarely true,Not at all true,Not at all true,usually true,usually true,5 - Always true,usually true,1 - Not at all true,1 - Not at all true,2 - Rarely true,5 - Always true
Male,Below 20 Years,Big City,Below 7 hours,Modest,Frequently,Low,Undergraduate- First Year,usually true,usually true,Often true,usually true,usually true,Often true,Rarely true,usually true,Often true,Often true,Often true,Often true,5 - Always true,usually true,3 - Often true,3 - Often true,2 - Rarely true,2 - Rarely true
Female,Below 20 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,usually true,Always true,usually true,usually true,Often true,Rarely true,Rarely true,Rarely true,Often true,Rarely true,usually true,Often true,5 - Always true,Rarely true,4 - usually true,5 - Always true,3 - Often true,4 - usually true
Male,Below 20 Years,Big City,Below 7 hours,Low,Always,Modest,Undergraduate- First Year,Often true,usually true,usually true,Rarely true,Rarely true,Often true,Rarely true,usually true,Often true,Always true,Often true,Often true,2 - Rarely true,Often true,3 - Often true,3 - Often true,2 - Rarely true,3 - Often true
Female,Below 20 Years,Big City,Below 7 hours,Modest,Always,Low,Undergraduate- First Year,Not at all true,Rarely true,Not at all true,Not at all true,Rarely true,Rarely true,usually true,usually true,Not at all true,Rarely true,usually true,Often true,4 - usually true,Rarely true,1 - Not at all true,2 - Rarely true,3 - Often true,5 - Always true
Female,Below 20 Years,Big City,Below 7 hours,Modest,Frequently,Modest,Undergraduate- First Year,Rarely true,Often true,Often true,Often true,usually true,Often true,Often true,usually true,usually true,Often true,usually true,usually true,5 - Always true,Rarely true,3 - Often true,3 - Often true,3 - Often true,3 - Often true
Male,Below 20 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,usually true,usually true,Rarely true,Often true,Often true,Rarely true,Rarely true,Often true,Often true,Often true,Often true,Often true,3 - Often true,usually true,2 - Rarely true,3 - Often true,3 - Often true,3 - Often true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,Rarely true,Rarely true,Rarely true,Rarely true,Always true,usually true,Always true,Always true,Always true,Always true,Always true,Always true,3 - Often true,Always true,4 - usually true,5 - Always true,5 - Always true,5 - Always true
Female,Between 21 to 25 Years,Big City,7-9 hours,Modest,Always,Low,Undergraduate- First Year,Rarely true,usually true,Not at all true,Not at all true,Always true,Rarely true,usually true,Often true,Rarely true,Not at all true,usually true,usually true,4 - usually true,Often true,4 - usually true,5 - Always true,4 - usually true,1 - Not at all true
Male,Below 20 Years,Big City,7-9 hours,Modest,Always,Modest,Undergraduate- First Year,Rarely true,usually true,Rarely true,Often true,usually true,Often true,Rarely true,Rarely true,Often true,Often true,usually true,Often true,3 - Often true,Rarely true,3 - Often true,4 - usually true,3 - Often true,2 - Rarely true
Female,Between 21 to 25 Years,Big City,7-9 hours,Modest,Frequently,Modest,Undergraduate- First Year,Rarely true,Rarely true,Not at all true,Rarely true,usually true,Not at all true,usually true,usually true,usually true,usually true,usually true,usually true,2 - Rarely true,Rarely true,5 - Always true,2 - Rarely true,1 - Not at all true,1 - Not at all true
Male,Below 20 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,usually true,Often true,usually true,Always true,Often true,Often true,usually true,Rarely true,Often true,usually true,Rarely true,Often true,4 - usually true,usually true,2 - Rarely true,4 - usually true,2 - Rarely true,5 - Always true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Low,Sometimes,Modest,Postgraduate,Not at all true,Often true,Often true,Often true,Often true,Rarely true,Often true,Rarely true,Often true,Rarely true,Often true,Rarely true,3 - Often true,usually true,3 - Often true,4 - usually true,2 - Rarely true,1 - Not at all true
Male,Between 21 to 25 Years,Big City,7-9 hours,Modest,Always,Low,Undergraduate- First Year,Rarely true,Often true,Not at all true,usually true,Often true,Rarely true,Always true,Not at all true,Not at all true,Rarely true,usually true,usually true,2 - Rarely true,Always true,3 - Often true,5 - Always true,4 - usually true,4 - usually true
Female,Below 20 Years,Big City,Below 7 hours,Low,Frequently,Modest,Undergraduate- First Year,Often true,usually true,Rarely true,Often true,usually true,Rarely true,Rarely true,Rarely true,Rarely true,Often true,Often true,usually true,3 - Often true,usually true,3 - Often true,4 - usually true,4 - usually true,3 - Often true
Female,Between 21 to 25 Years,Big City,7-9 hours,Low,Always,Low,Undergraduate- First Year,Not at all true,Not at all true,Not at all true,Rarely true,Often true,Often true,usually true,Often true,Often true,Often true,Often true,Often true,3 - Often true,Rarely true,2 - Rarely true,3 - Often true,4 - usually true,1 - Not at all true
Male,Below 20 Years,Big City,Below 7 hours,High,Always,Modest,Undergraduate- First Year,Rarely true,Often true,Often true,usually true,Rarely true,Not at all true,Rarely true,Rarely true,Rarely true,Rarely true,Often true,Not at all true,3 - Often true,usually true,4 - usually true,5 - Always true,3 - Often true,4 - usually true
Male,Below 20 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,Rarely true,Often true,Often true,Not at all true,Often true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,3 - Often true,Always true,1 - Not at all true,4 - usually true,2 - Rarely true,1 - Not at all true
Female,Below 20 Years,Big City,Below 7 hours,Modest,Always,Low,Undergraduate- First Year,usually true,Always true,Always true,Rarely true,Always true,usually true,Often true,Always true,Often true,Always true,usually true,Always true,5 - Always true,Often true,5 - Always true,5 - Always true,4 - usually true,5 - Always true
Male,Below 20 Years,Big City,7-9 hours,High,Always,High,Undergraduate- First Year,usually true,Always true,usually true,usually true,Often true,Rarely true,usually true,Often true,usually true,Rarely true,Often true,usually true,4 - usually true,Often true,4 - usually true,5 - Always true,4 - usually true,3 - Often true
Male,Below 20 Years,Big City,7-9 hours,Modest,Always,Modest,Undergraduate- First Year,usually true,usually true,Often true,Often true,Often true,Rarely true,Rarely true,Often true,Often true,Rarely true,usually true,usually true,2 - Rarely true,Often true,1 - Not at all true,4 - usually true,3 - Often true,2 - Rarely true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,usually true,Always true,Rarely true,Rarely true,usually true,Rarely true,usually true,Often true,Rarely true,Rarely true,Often true,Often true,4 - usually true,usually true,4 - usually true,4 - usually true,2 - Rarely true,2 - Rarely true
Male,Below 20 Years,Big City,7-9 hours,High,Always,Low,Undergraduate- First Year,Not at all true,Rarely true,Rarely true,Rarely true,usually true,usually true,usually true,Always true,Rarely true,usually true,usually true,usually true,3 - Often true,Rarely true,1 - Not at all true,4 - usually true,4 - usually true,1 - Not at all true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Low,Always,Low,Undergraduate- First Year,Often true,usually true,Rarely true,Rarely true,Often true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Often true,Often true,2 - Rarely true,Rarely true,3 - Often true,5 - Always true,2 - Rarely true,2 - Rarely true
Female,Below 20 Years,Big City,7-9 hours,Modest,Always,High,Undergraduate- First Year,usually true,Always true,usually true,usually true,Often true,Rarely true,Often true,Rarely true,Rarely true,Often true,Often true,Always true,4 - usually true,Always true,5 - Always true,5 - Always true,1 - Not at all true,4 - usually true
Female,Between 21 to 25 Years,Big City,Below 7 hours,Low,Frequently,Modest,Undergraduate- Second Year,Rarely true,usually true,usually true,Rarely true,Always true,usually true,Always true,Always true,Always true,Always true,Always true,Always true,5 - Always true,usually true,4 - usually true,4 - usually true,3 - Often true,2 - Rarely true
Female,Between 21 to 25 Years,Big City,Above 9 hours,Modest,Always,Modest,Undergraduate- First Year,Often true,usually true,Often true,Rarely true,Often true,Rarely true,Often true,Often true,Often true,Rarely true,usually true,Often true,1 - Not at all true,Often true,2 - Rarely true,4 - usually true,3 - Often true,3 - Often true
Male,Below 20 Years,Big City,7-9 hours,Modest,Always,Low,Undergraduate- First Year,Often true,usually true,usually true,usually true,usually true,usually true,Not at all true,usually true,usually true,Often true,Often true,Often true,5 - Always true,Always true,3 - Often true,3 - Often true,3 - Often true,2 - Rarely true
Female,Below 20 Years,Big City,Below 7 hours,Low,Always,Low,Undergraduate- First Year,Often true,Rarely true,Rarely true,Rarely true,Often true,Rarely true,Not at all true,Rarely true,Rarely true,Often true,Often true,Rarely true,2 - Rarely true,Often true,2 - Rarely true,3 - Often true,2 - Rarely true,5 - Always true
Female,Between 21 to 25 Years,Big City,7-9 hours,Low,Frequently,Modest,Undergraduate- First Year,Often true,Often true,Often true,Often true,usually true,Rarely true,Often true,Often true,Often true,Rarely true,usually true,usually true,3 - Often true,usually true,3 - Often true,3 - Often true,3 - Often true,3 - Often true
Female,Below 20 Years,Big City,Below 7 hours,Modest,Frequently,High,Undergraduate- First Year,Often true,Always true,Always true,usually true,Often true,Rarely true,Rarely true,Often true,Often true,Often true,usually true,Always true,2 - Rarely true,Always true,2 - Rarely true,4 - usually true,2 - Rarely true,2 - Rarely true
Male,Below 20 Years,Big City,7-9 hours,Modest,Frequently,High,Undergraduate- First Year,Not at all true,usually true,Often true,Always true,usually true,Rarely true,Always true,Rarely true,Rarely true,Rarely true,Often true,usually true,4 - usually true,Rarely true,3 - Often true,3 - Often true,2 - Rarely true,3 - Often true
Female,Below 20 Years,Small City/ Town,Below 7 hours,Low,Always,Low,Undergraduate- First Year,Rarely true,Rarely true,Often true,Always true,Rarely true,Rarely true,Rarely true,usually true,Not at all true,Often true,Rarely true,usually true,3 - Often true,Not at all true,2 - Rarely true,5 - Always true,4 - usually true,5 - Always true
Male,Below 20 Years,Big City,7-9 hours,Modest,Always,Low,Undergraduate- First Year,Not at all true,Rarely true,Often true,Rarely true,Often true,Rarely true,Always true,Rarely true,Rarely true,Often true,Often true,Rarely true,3 - Often true,Always true,2 - Rarely true,2 - Rarely true,3 - Often true,3 - Often true
Female,Below 20 Years,Small City/ Town,Below 7 hours,Low,Always,Low,Undergraduate- First Year,Rarely true,Rarely true,Often true,Always true,Rarely true,Rarely true,Rarely true,usually true,Not at all true,Often true,Rarely true,usually true,3 - Often true,Not at all true,2 - Rarely true,5 - Always true,4 - usually true,5 - Always true
Female,Below 20 Years,Small City/ Town,7-9 hours,Modest,Frequently,Modest,Undergraduate- First Year,Not at all true,Often true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Often true,Not at all true,Often true,Rarely true,4 - usually true,Rarely true,1 - Not at all true,3 - Often true,2 - Rarely true,1 - Not at all true
Male,Between 21 to 25 Years,Big City,7-9 hours,Modest,Always,Modest,Undergraduate- Fourth Year,Not at all true,Often true,usually true,Always true,usually true,usually true,Not at all true,Rarely true,Rarely true,Not at all true,usually true,usually true,5 - Always true,Always true,2 - Rarely true,3 - Often true,3 - Often true,4 - usually true
Male,Below 20 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,Always true,Always true,usually true,Often true,usually true,Often true,Always true,Often true,Often true,Rarely true,usually true,Always true,4 - usually true,usually true,4 - usually true,5 - Always true,4 - usually true,4 - usually true
Male,Below 20 Years,Small City/ Town,7-9 hours,Modest,Always,Low,Undergraduate- First Year,Not at all true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,usually true,Often true,2 - Rarely true,Often true,2 - Rarely true,4 - usually true,3 - Often true,2 - Rarely true
Female,Below 20 Years,Big City,7-9 hours,Modest,Always,Modest,Undergraduate- First Year,Rarely true,Often true,Often true,usually true,usually true,usually true,Often true,Always true,Rarely true,Often true,usually true,Always true,3 - Often true,usually true,2 - Rarely true,5 - Always true,4 - usually true,4 - usually true
Female,Below 20 Years,Big City,7-9 hours,Modest,Sometimes,Low,Undergraduate- First Year,Rarely true,Rarely true,Rarely true,Not at all true,Often true,Not at all true,usually true,Not at all true,Often true,Often true,Rarely true,Often true,3 - Often true,usually true,2 - Rarely true,2 - Rarely true,1 - Not at all true,3 - Often true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,usually true,usually true,Rarely true,usually true,Rarely true,Rarely true,Often true,Rarely true,Not at all true,Rarely true,Often true,Often true,4 - usually true,usually true,2 - Rarely true,4 - usually true,2 - Rarely true,4 - usually true
Male,Between 21 to 25 Years,Small City/ Town,Below 7 hours,High,Always,Modest,Undergraduate- First Year,Rarely true,Rarely true,Rarely true,Not at all true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Not at all true,Often true,Rarely true,2 - Rarely true,usually true,1 - Not at all true,3 - Often true,1 - Not at all true,3 - Often true
Male,Below 20 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,usually true,Always true,Often true,Often true,usually true,Rarely true,usually true,Often true,Rarely true,usually true,usually true,Always true,4 - usually true,Rarely true,3 - Often true,5 - Always true,2 - Rarely true,4 - usually true
Male,Below 20 Years,Village/ Rural area,7-9 hours,Modest,Frequently,Modest,Undergraduate- First Year,Not at all true,Often true,Rarely true,Rarely true,Often true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,Often true,Rarely true,2 - Rarely true,Often true,2 - Rarely true,4 - usually true,2 - Rarely true,2 - Rarely true
Male,Between 21 to 25 Years,Big City,7-9 hours,Modest,Always,Low,Undergraduate- First Year,Often true,usually true,Rarely true,Rarely true,Often true,Rarely true,Rarely true,usually true,Not at all true,Not at all true,Rarely true,usually true,5 - Always true,Not at all true,2 - Rarely true,3 - Often true,2 - Rarely true,5 - Always true
Male,Below 20 Years,Big City,Below 7 hours,Modest,Always,Low,Undergraduate- First Year,usually true,usually true,Often true,Often true,usually true,Often true,Often true,Always true,usually true,Often true,usually true,usually true,3 - Often true,usually true,4 - usually true,4 - usually true,4 - usually true,4 - usually true
Female,Between 21 to 25 Years,Village/ Rural area,7-9 hours,Modest,Always,Low,Undergraduate- Second Year,Often true,Always true,Rarely true,Often true,Rarely true,Not at all true,Not at all true,Often true,Rarely true,Not at all true,Always true,Often true,5 - Always true,Always true,2 - Rarely true,5 - Always true,4 - usually true,3 - Often true
Female,Below 20 Years,Big City,7-9 hours,Modest,Always,Modest,Undergraduate- First Year,Rarely true,Often true,Rarely true,usually true,usually true,usually true,Not at all true,usually true,Often true,Often true,usually true,usually true,4 - usually true,Not at all true,1 - Not at all true,3 - Often true,3 - Often true,1 - Not at all true
Male,Between 21 to 25 Years,Big City,7-9 hours,Modest,Frequently,Low,Undergraduate- First Year,Often true,Not at all true,Not at all true,Not at all true,usually true,Rarely true,Not at all true,Often true,Not at all true,Not at all true,Rarely true,Rarely true,1 - Not at all true,Not at all true,1 - Not at all true,1 - Not at all true,2 - Rarely true,1 - Not at all true
Male,Below 20 Years,Big City,Below 7 hours,High,Always,Low,Undergraduate- First Year,Not at all true,Rarely true,Not at all true,Not at all true,Often true,Rarely true,Always true,Always true,Always true,Always true,Always true,Always true,3 - Often true,Not at all true,3 - Often true,2 - Rarely true,1 - Not at all true,1 - Not at all true
Male,Below 20 Years,Village/ Rural area,Below 7 hours,Modest,Always,High,Undergraduate- First Year,usually true,usually true,usually true,usually true,Always true,usually true,Rarely true,Always true,Always true,usually true,Always true,usually true,4 - usually true,Always true,4 - usually true,4 - usually true,4 - usually true,4 - usually true
Female,Between 21 to 25 Years,Big City,Below 7 hours,Low,Always,Low,Undergraduate- First Year,Not at all true,Often true,Rarely true,Often true,usually true,Often true,Often true,usually true,Not at all true,Rarely true,usually true,usually true,3 - Often true,Always true,1 - Not at all true,3 - Often true,2 - Rarely true,1 - Not at all true
Female,Below 20 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- First Year,usually true,Always true,Always true,Always true,usually true,Often true,usually true,usually true,Often true,Rarely true,usually true,usually true,4 - usually true,usually true,3 - Often true,3 - Often true,1 - Not at all true,3 - Often true
Female,Below 20 Years,Big City,7-9 hours,Modest,Always,Modest,Undergraduate- First Year,Often true,Often true,Rarely true,usually true,usually true,usually true,Always true,Always true,usually true,Often true,Always true,Often true,3 - Often true,usually true,2 - Rarely true,3 - Often true,3 - Often true,2 - Rarely true
Female,Below 20 Years,Big City,Below 7 hours,Modest,Always,Low,Undergraduate- First Year,Always true,Always true,usually true,Rarely true,usually true,Rarely true,Rarely true,Always true,Always true,Not at all true,Always true,Often true,2 - Rarely true,Rarely true,1 - Not at all true,3 - Often true,4 - usually true,4 - usually true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Low,Frequently,Modest,Undergraduate- First Year,Not at all true,Often true,Often true,Rarely true,usually true,usually true,Always true,usually true,Always true,usually true,Always true,usually true,4 - usually true,usually true,4 - usually true,4 - usually true,5 - Always true,5 - Always true
Female,Below 20 Years,Big City,Below 7 hours,Low,Always,Low,Undergraduate- First Year,Not at all true,Rarely true,Not at all true,Not at all true,Often true,Rarely true,Not at all true,Rarely true,Rarely true,Not at all true,Often true,Often true,4 - usually true,Always true,2 - Rarely true,4 - usually true,3 - Often true,4 - usually true
Male,Between 21 to 25 Years,Big City,7-9 hours,Modest,Frequently,Low,Undergraduate- Fourth Year,usually true,usually true,Often true,usually true,Always true,Often true,usually true,Often true,usually true,usually true,Always true,Always true,1 - Not at all true,Rarely true,4 - usually true,5 - Always true,3 - Often true,4 - usually true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Low,Always,High,Undergraduate- Fourth Year,Always true,Always true,usually true,Often true,Always true,Often true,Often true,Rarely true,usually true,Often true,Often true,Often true,3 - Often true,Often true,3 - Often true,3 - Often true,3 - Often true,3 - Often true
Male,Below 20 Years,Big City,7-9 hours,Modest,Always,Low,Undergraduate- First Year,Always true,Always true,usually true,Often true,Often true,Often true,usually true,Often true,Not at all true,Not at all true,Often true,Often true,2 - Rarely true,Often true,3 - Often true,3 - Often true,1 - Not at all true,1 - Not at all true
Male,Between 21 to 25 Years,Small City/ Town,7-9 hours,Low,Always,Modest,Undergraduate- Fourth Year,Often true,usually true,usually true,usually true,Often true,Rarely true,Rarely true,Rarely true,usually true,Often true,Often true,Rarely true,2 - Rarely true,Often true,2 - Rarely true,3 - Often true,3 - Often true,5 - Always true
Female,Between 21 to 25 Years,Small City/ Town,7-9 hours,Modest,Always,Low,Undergraduate- Fourth Year,Rarely true,Often true,Often true,Often true,Often true,Rarely true,Often true,Rarely true,Often true,Rarely true,Rarely true,Rarely true,3 - Often true,Often true,4 - usually true,3 - Often true,2 - Rarely true,3 - Often true
Male,Between 21 to 25 Years,Big City,Above 9 hours,Modest,Always,Modest,Undergraduate- Fourth Year,Rarely true,Not at all true,Rarely true,Rarely true,Not at all true,Often true,Always true,Often true,Often true,Rarely true,Often true,Often true,3 - Often true,Rarely true,2 - Rarely true,4 - usually true,2 - Rarely true,2 - Rarely true
Female,Between 21 to 25 Years,Big City,Below 7 hours,Low,Always,Low,Undergraduate- Fourth Year,Not at all true,Often true,Rarely true,Rarely true,Rarely true,Not at all true,Often true,Rarely true,Rarely true,Not at all true,Often true,Rarely true,3 - Often true,usually true,2 - Rarely true,3 - Often true,2 - Rarely true,2 - Rarely true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- Second Year,Often true,usually true,Often true,Rarely true,usually true,Often true,usually true,Often true,Often true,Rarely true,usually true,Often true,2 - Rarely true,Often true,3 - Often true,2 - Rarely true,4 - usually true,3 - Often true
Female,Between 26 to 30 Years,Big City,Below 7 hours,Low,Frequently,Low,Postgraduate,Not at all true,Not at all true,Rarely true,Rarely true,Always true,Not at all true,Always true,Always true,Not at all true,Not at all true,Not at all true,Not at all true,1 - Not at all true,Always true,1 - Not at all true,3 - Often true,3 - Often true,1 - Not at all true
Male,Between 21 to 25 Years,Big City,Above 9 hours,Modest,Always,Low,Undergraduate- Second Year,Not at all true,Often true,Rarely true,Not at all true,Rarely true,Rarely true,usually true,Often true,Rarely true,Often true,Rarely true,Rarely true,3 - Often true,usually true,2 - Rarely true,3 - Often true,2 - Rarely true,2 - Rarely true
Male,Between 21 to 25 Years,Big City,7-9 hours,High,Always,Modest,Undergraduate- First Year,Always true,Often true,Often true,Always true,Always true,Always true,Always true,Always true,Always true,Rarely true,Always true,Always true,4 - usually true,usually true,3 - Often true,4 - usually true,5 - Always true,4 - usually true
Female,Between 21 to 25 Years,Big City,Above 9 hours,High,Frequently,Low,Undergraduate- Fourth Year,Not at all true,Always true,Often true,Rarely true,Not at all true,Not at all true,Often true,Not at all true,Not at all true,Often true,Often true,Often true,4 - usually true,Rarely true,1 - Not at all true,4 - usually true,1 - Not at all true,3 - Often true
Female,Between 21 to 25 Years,Big City,Below 7 hours,Modest,Sometimes,Modest,Undergraduate- Fourth Year,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,Often true,3 - Often true,Often true,3 - Often true,3 - Often true,3 - Often true,3 - Often true
Male,Between 21 to 25 Years,Big City,7-9 hours,High,Frequently,Modest,Undergraduate- Fourth Year,Often true,Often true,Rarely true,Often true,Rarely true,Rarely true,usually true,Rarely true,Rarely true,Rarely true,Rarely true,Rarely true,2 - Rarely true,usually true,2 - Rarely true,2 - Rarely true,2 - Rarely true,2 - Rarely true
Male,Between 21 to 25 Years,Big City,Below 7 hours,Modest,Always,Modest,Undergraduate- Fourth Year,Not at all true,Rarely true,Rarely true,Not at all true,Rarely true,Rarely true,Rarely true,usually true,Often true,Rarely true,Often true,Rarely true,3 - Often true,usually true,1 - Not at all true,3 - Often true,3 - Often true,3 - Often true
Male,Between 21 to 25 Years,Big City,7-9 hours,Low,Always,Low,Undergraduate- Fourth Year,Rarely true,Always true,Rarely true,usually true,usually true,Rarely true,Always true,Not at all true,Rarely true,Rarely true,Often true,Always true,4 - usually true,Rarely true,3 - Often true,3 - Often true,3 - Often true,5 - Always true
Male,Between 21 to 25 Years,Big City,7-9 hours,Modest,Always,Low,Undergraduate- Fourth Year,Rarely true,usually true,Often true,Often true,usually true,Not at all true,Often true,usually true,Often true,Always true,usually true,Always true,4 - usually true,usually true,3 - Often true,4 - usually true,3 - Often true,4 - usually true
Male,Between 26 to 30 Years,Small City/ Town,7-9 hours,Modest,Always,Low,Postgraduate,usually true,usually true,Often true,Not at all true,Not at all true,Not at all true,Rarely true,Not at all true,Often true,Often true,Not at all true,Always true,1 - Not at all true,Often true,5 - Always true,4 - usually true,3 - Often true,2 - Rarely true
Male,Below 20 Years,Big City,7-9 hours,Modest,Always,Low,Undergraduate- First Year,Rarely true,Always true,Rarely true,Often true,Always true,Always true,Not at all true,Always true,Always true,Always true,Always true,Often true,3 - Often true,Rarely true,1 - Not at all true,5 - Always true,2 - Rarely true,2 - Rarely true
Female,Between 21 to 25 Years,Big City,Below 7 hours,Low,Frequently,Modest,Undergraduate- Fourth Year,Rarely true,usually true,Rarely true,usually true,usually true,Rarely true,usually true,Rarely true,Often true,usually true,usually true,usually true,4 - usually true,usually true,4 - usually true,4 - usually true,3 - Often true,4 - usually true
